sequence_index,task_id,task_name,process_id,process_name,operated_objects,operated_object_names,task_obb_center,required_resources,generation_rule,inference_explanation
199,Task_安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_安装紧固件,安装紧固件,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10611G72 6号肋;5536C11008G41 右侧3号夹芯板,39.082247118;6.42623018;-0.056399765,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
200,Task_安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_安装紧固件,安装紧固件,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10611G72 6号肋;5536C11007G41 左侧3号夹芯板,39.082247118;6.42623018;0.056396888,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
201,Task_安装紧固件_Part_1_45_5536C14012G71_5536C14012G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,安装紧固件_Part_1_45_5536C14012G71_5536C14012G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_安装紧固件,安装紧固件,Part_1_45_5536C14012G71_5536C14012G71_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C14012G71 6号连接带板;5536C11008G41 右侧3号夹芯板,39.279501115;6.615367715;-0.102235976,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
202,Task_安装紧固件_Part_1_44_5536C14011G71_5536C14011G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,安装紧固件_Part_1_44_5536C14011G71_5536C14011G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_安装紧固件,安装紧固件,Part_1_44_5536C14011G71_5536C14011G71_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C14011G71 6号连接带板;5536C11007G41 左侧3号夹芯板,39.279501115;6.615367715;0.102235976,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
203,Task_吊装移站_Product_1_5536C10000G26_5536C10000G26,吊装移站_Product_1_5536C10000G26_5536C10000G26,PROC_吊装移站,吊装移站,Product_1_5536C10000G26_5536C10000G26,5536C10000G26,,吊具,product_final_process,最终 Product 节点 requireProcess 后处理工艺，因此生成产品后处理任务。
204,Task_下架_Product_1_5536C10000G26_5536C10000G26,下架_Product_1_5536C10000G26_5536C10000G26,PROC_下架,下架,Product_1_5536C10000G26_5536C10000G26,5536C10000G26,,吊具,product_final_process,最终 Product 节点 requireProcess 后处理工艺，因此生成产品后处理任务。
205,Task_补铆安装紧固件_Product_1_5536C10000G26_5536C10000G26,补铆安装紧固件_Product_1_5536C10000G26_5536C10000G26,PROC_补铆安装紧固件,补铆安装紧固件,Product_1_5536C10000G26_5536C10000G26,5536C10000G26,,铆接工具;补铆托架,product_final_process,最终 Product 节点 requireProcess 后处理工艺，因此生成产品后处理任务。
206,Task_安装部分支架_Product_1_5536C10000G26_5536C10000G26,安装部分支架_Product_1_5536C10000G26_5536C10000G26,PROC_安装部分支架,安装部分支架,Product_1_5536C10000G26_5536C10000G26,5536C10000G26,,铆接工具,product_final_process,最终 Product 节点 requireProcess 后处理工艺，因此生成产品后处理任务。
207,Task_涂胶密封_Product_1_5536C10000G26_5536C10000G26,涂胶密封_Product_1_5536C10000G26_5536C10000G26,PROC_涂胶密封,涂胶密封,Product_1_5536C10000G26_5536C10000G26,5536C10000G26,,密封胶枪,product_final_process,最终 Product 节点 requireProcess 后处理工艺，因此生成产品后处理任务。
208,Task_清洗排故_Product_1_5536C10000G26_5536C10000G26,清洗排故_Product_1_5536C10000G26_5536C10000G26,PROC_清洗排故,清洗排故,Product_1_5536C10000G26_5536C10000G26,5536C10000G26,,清洗工具,product_final_process,最终 Product 节点 requireProcess 后处理工艺，因此生成产品后处理任务。
